Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2017,Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M585-701,Dir/Environmental & Transporta,108817
2017,Community Maintenance and Development,Community Development,Community Planning,M579-701,Dir/Community Planning,108817
2017,Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M573-701,Environment Prog Manager,94281
2017,Community Maintenance and Development,Community Development,Administration,M569-701,Federal Grants Manager,108817
2017,Community Maintenance and Development,Community Development,Administration,M366-701,Chief Fiscal Officer,98513
2017,Community Maintenance and Development,Community Development,Community Planning,M201-701,GIS Specialist/Comm Dev,79743
2017,Community Maintenance and Development,Community Development,Administration,M051-701,Chief of Policy & Planning/Dep,104581
2017,Community Maintenance and Development,Community Development,Housing,M018-701,Admin Asst/Housing/Comm,56934
2017,Public Safety,Police,Patrol,S463-021,Police Lieutenant,100345
2017,Community Maintenance and Development,Community Development,Environmental and Transportation Planning,K103-001,Community Energy Outreach Mgr,79743
2017,Community Maintenance and Development,Community Development,Housing,K007-001,First-Time Homebuyer Coord,95591
2017,Community Maintenance and Development,Community Development,Housing,K006-001,Assoc Plan/Loan Prog Mngr,79743
2017,Community Maintenance and Development,Community Development,Administration,C171-703,Sr Account Clerk,55272
2017,Community Maintenance and Development,Community Development,Administration,C116-701,Receptionist,48788
2017,Community Maintenance and Development,Community Development,Administration,C094-714,Admin Asst/Fisc/Gen/Bld/R,55873
2017,Community Maintenance and Development,Community Development,Community Planning,C094-703,Admin Asst/Fisc/Gen/Bld/R,55873
2017,Community Maintenance and Development,Community Development,Administration,C094-702,Admin Asst/Fisc/Gen/Bld/R,55873
2017,General Government,Election Commission,Administration,M803-704,Election Commissioner,35572
2017,General Government,Election Commission,Administration,M803-703,Election Commissioner,35572
2017,General Government,Election Commission,Administration,M803-702,Election Commissioner,35572
2017,General Government,Election Commission,Administration,M803-701,Election Commissioner,32554
2017,General Government,Election Commission,Administration,M076-701,Asst Director/Election Comm,73805
2017,General Government,Election Commission,Administration,M056-701,Exec Dir/Election,106029
2017,General Government,Election Commission,Administration,C117-053,Clerk/Clerical Aide,27495
2017,General Government,Election Commission,Administration,C110-706,Sr Clerk & Typist,45842
2017,General Government,Election Commission,Administration,C110-026,Sr Clerk & Typist,36673
2017,General Government,Election Commission,Administration,C110-025,Sr Clerk & Typist,43124
2017,General Government,Election Commission,Administration,C093-701,Admin Asst/Election/City Counc,57058
2017,Public Safety,Electrical,Administration,O015-701,City Electrician,136369
2017,Public Safety,Electrical,Administration,M092-701,Senior Electrical Manager,89636
2017,Public Safety,Electrical,Administration,M078-001,Assistant City Electrician,98513
2017,Public Safety,Electrical,Administration,C626-112,Electrician,63297
2017,Public Safety,Electrical,Administration,C626-111,Electrician,66274
2017,Public Safety,Electrical,Administration,C626-010,Electrician,67516
2017,Public Safety,Electrical,Administration,C626-009,Electrician,67516
2017,Public Safety,Electrical,Administration,C626-007,Electrician,67516
2017,Public Safety,Electrical,Administration,C626-005,Electrician,67146
2017,Public Safety,Electrical,Administration,C626-002,Electrician,67516
2017,Public Safety,Electrical,Administration,C625-001,Electrician Coordinator,86812
2017,Public Safety,Electrical,Administration,C622-001,Electrician Coordinator/Tech S,86812
2017,Public Safety,Electrical,Administration,C098-001,Admin Asst/Electrical,57058
2017,Public Safety,Emergency Communications,Administration,M371-001,ECC/Assistant Director,121313
2017,Public Safety,Emergency Communications,Administration,M370-701,Chief of Operations /Emergenc,122730
2017,Public Safety,Emergency Communications,Administration,M369-701,Public Safety Comp Sys Mng,112418
2017,Public Safety,Emergency Communications,Administration,M368-701,Admin Asst/Emergency Comm,56868
2017,Public Safety,Police,Patrol,P465-195,Police Officer,41136
2017,Public Safety,Emergency Communications,Administration,M323-701,Info Syst Specialist/Pub Safet,75582
2017,Public Safety,Emergency Communications,Administration,M036-701,Emergency Communicat Dir,138498
2017,Public Safety,Emergency Communications,Administration,E374-007,Emerg Comm Supervisor,80736
2017,Public Safety,Emergency Communications,Administration,E374-006,Emerg Comm Supervisor,80736
2017,Public Safety,Emergency Communications,Administration,E374-005,Emerg Comm Supervisor,80736
2017,Public Safety,Emergency Communications,Administration,E374-004,Emerg Comm Supervisor,81036
2017,Public Safety,Emergency Communications,Administration,E374-003,Emerg Comm Supervisor,80736
2017,Public Safety,Emergency Communications,Administration,E374-002,Emerg Comm Supervisor,80736
2017,Public Safety,Emergency Communications,Administration,E374-001,Emerg Comm Supervisor,80736
2017,Public Safety,Emergency Communications,Administration,C508-035,Emergency Telecom Dispatcher,50891
2017,Public Safety,Emergency Communications,Administration,C508-034,Emergency Telecom Dispatcher,50891
2017,Public Safety,Emergency Communications,Administration,C508-033,Emergency Telecom Dispatcher,67576
2017,Public Safety,Emergency Communications,Administration,C508-032,Emergency Telecom Dispatcher,67576
2017,Public Safety,Emergency Communications,Administration,C508-030,Emergency Telecom Dispatcher,68126
2017,Public Safety,Emergency Communications,Administration,C508-029,Emergency Telecom Dispatcher,67576
2017,Public Safety,Emergency Communications,Administration,C508-025,Emergency Telecom Dispatcher,67826
2017,Public Safety,Emergency Communications,Administration,C508-024,Emergency Telecom Dispatcher,67576
2017,Public Safety,Emergency Communications,Administration,C508-023,Emergency Telecom Dispatcher,67826
2017,Public Safety,Emergency Communications,Administration,C508-022,Emergency Telecom Dispatcher,68126
2017,Public Safety,Emergency Communications,Administration,C508-021,Emergency Telecom Dispatcher,67826
2017,Public Safety,Emergency Communications,Administration,C508-020,Emergency Telecom Dispatcher,67576
2017,Public Safety,Emergency Communications,Administration,C508-018,Emergency Telecom Dispatcher,67826
2017,Public Safety,Emergency Communications,Administration,C508-017,Emergency Telecom Dispatcher,67826
2017,Public Safety,Emergency Communications,Administration,C508-016,Emergency Telecom Dispatcher,66126
2017,Public Safety,Emergency Communications,Administration,C508-015,Emergency Telecom Dispatcher,50891
2017,Public Safety,Emergency Communications,Administration,C508-013,Emergency Telecom Dispatcher,67826
2017,Public Safety,Emergency Communications,Administration,C508-012,Emergency Telecom Dispatcher,67826
2017,Public Safety,Police,Community Relations,S464-018,Police Sergeant,88369
2017,Public Safety,Emergency Communications,Administration,C508-011,Emergency Telecom Dispatcher,67826
2017,Public Safety,Emergency Communications,Administration,C508-010,Emergency Telecom Dispatcher,67826
2017,Public Safety,Emergency Communications,Administration,C508-009,Emergency Telecom Dispatcher,67826
2017,Public Safety,Emergency Communications,Administration,C508-008,Emergency Telecom Dispatcher,56270
2017,Public Safety,Emergency Communications,Administration,C508-007,Emergency Telecom Dispatcher,67576
2017,Public Safety,Emergency Communications,Administration,C508-006,Emergency Telecom Dispatcher,68126
2017,Public Safety,Emergency Communications,Administration,C508-005,Emergency Telecom Dispatcher,67826
2017,Public Safety,Emergency Communications,Administration,C508-004,Emergency Telecom Dispatcher,67576
2017,Public Safety,Emergency Communications,Administration,C508-003,Emergency Telecom Dispatcher,55800
2017,Public Safety,Emergency Communications,Administration,C508-001,Emergency Telecom Dispatcher,67576
2017,Public Safety,Emergency Communications,Administration,C507-002,Fire Alarm Operator,67576
2017,General Government,Executive,Leadership,O022-701,Deputy City Manager,226000
2017,General Government,Executive,Leadership,O003-701,City Manager,330000
2017,General Government,Executive,Leadership,M617-701,PTDM Planning Officer,94281
2017,General Government,Executive,Public Information Office,M265-701,Public Info Officer,103785
2017,General Government,Executive,Domestic and Gender-Based Violence Prevention Initiative,M211-701,Coord. of Camb.Init.DV & GBP,71634
2017,General Government,Executive,Public Information Office,M188-701,Director/Communication CommRel,115325
2017,General Government,Executive,Affirmative Action,M148-701,Affirmative Action Dir/Complia,109463
2017,General Government,Executive,Leadership,M117-701,Office Manager/Executive,93459
2017,General Government,Executive,Leadership,M070-701,Exec Asst To City Mngr,75764
2017,General Government,Executive,Leadership,M066-701,Asst To City Manager,98999
2017,General Government,Executive,Leadership,M052-701,Senior Management Analyst,100222
2017,General Government,Finance,Assessing,O327-701,Dir/Assessment,161601
2017,General Government,Finance,Assessing,O026-701,Assessor/Commercial,113115
2017,General Government,Finance,Budget,O025-701,Budget Director,146833
2017,General Government,Finance,Purchasing,O016-701,Purchasing Agent,142636
2017,General Government,Finance,Personnel,O014-701,Personnel Director,146833
2017,General Government,Finance,Assessing,O013-701,Assessor,117848
2017,General Government,Finance,Auditing,O007-701,City Auditor,136369
2017,General Government,Finance,Administration,O006-701,Asst City Mngr/Fiscal,187812
2017,General Government,Finance,Administration,M907-701,Admin Asst to Finance Director,68891
2017,General Government,Finance,Information Technology Division,M906-701,Asst Dir/ IT Infrastructure,131607
2017,General Government,Finance,Information Technology Division,M901-701,Asst Dir of Info Tech Admin,130919
2017,General Government,Finance,Revenue,M806-701,Cust. Srvc Sup/Tax Title Liais,75764
2017,General Government,Finance,Revenue,M801-702,Customer Svs Supervsr/Finance,68891
2017,General Government,Finance,Information Technology Division,M708-701,Proj Mngr/Business Analyst L1,98513
2017,General Government,Finance,Information Technology Division,M706-701,Technical Support Supervisor,98276
2017,General Government,Finance,Information Technology Division,M705-701,Database Administrator,112418
2017,General Government,Finance,Information Technology Division,M704-702,Proj Mngr/Business Analyst L2,104060
2017,General Government,Finance,Information Technology Division,M704-701,Proj Mngr/Business Analyst L2,104060
2017,General Government,Finance,Information Technology Division,M702-702,MIS Project Manager,104060
2017,General Government,Finance,Information Technology Division,M701-701,Network Manager,112418
2017,General Government,Finance,Information Technology Division,M550-701,GIS Technical Specialist,66890
2017,General Government,Finance,Personnel,M431-001,Employment Assistant/Personnel,46572
2017,General Government,Finance,Assessing,M418-701,Mngr. of Assessing Operations,93459
2017,General Government,Finance,Assessing,M386-701,Commercial Appraiser,87745
2017,General Government,Finance,Assessing,M383-001,Asst to Board of Assessors,78378
2017,General Government,Finance,Assessing,M380-701,Customer Srvc. Sup./Deed Spec.,66529
2017,General Government,Finance,Purchasing,M377-001,Manager/Construction Procureme,78378
2017,General Government,Finance,Personnel,M363-002,Employment Resource Spec,55593
2017,General Government,Finance,Auditing,M336-001,AccT/Financial Reporti Analyst,80390
2017,General Government,Finance,Personnel,M334-001,Administrative Assistant,55593
2017,General Government,Finance,Information Technology Division,M320-702,System Administrator,87499
2017,General Government,Finance,Information Technology Division,M320-701,System Administrator,94393
2017,General Government,Finance,Treasury,M304-702,Business Prod Analyst/Prj.Mgr.,80390
2017,General Government,Finance,Information Technology Division,M252-701,Web Developer,89396
2017,General Government,Finance,Information Technology Division,M206-701,Web Manager,107431
2017,General Government,Finance,Information Technology Division,M204-701,Technical Support Lvl 2,98513
2017,General Government,Finance,Personnel,M199-001,Personnel Specialist,59431
2017,General Government,Finance,Personnel,M189-001,Employee Benefits Svs Rep,56868
2017,General Government,Finance,Assessing,M185-004,Assessment Analyst,64656
2017,General Government,Finance,Assessing,M185-003,Assessment Analyst/CA,66007
2017,General Government,Finance,Budget,M184-003,Principal Budget Analyst,85188
2017,General Government,Finance,Budget,m184-002,Principal Budget Analyst,87344
2017,General Government,Finance,Budget,M184-001,Principal Budget Analyst,87344
2017,General Government,Finance,Personnel,M182-001,Personnel/Labor Svs Analyst,78378
2017,General Government,Finance,Auditing,M180-001,Financial Analyst,89734
2017,General Government,Finance,Budget,M175-009,Budget Analyst,56868
2017,General Government,Finance,Treasury,M171-705,Senior Account Clerk,59431
2017,General Government,Finance,Treasury,M171-704,Senior Account Clerk,59431
2017,General Government,Finance,Information Technology Division,M166-701,GIS Programmer  Analyst,86604
2017,General Government,Finance,Information Technology Division,M165-701,Network Engineer L2,104060
2017,General Government,Finance,Information Technology Division,M162-701,Web Content Specialist,78150
2017,General Government,Finance,Information Technology Division,M149-701,GIS Manager,112418
2017,General Government,Finance,Information Technology Division,M142-701,Enterprise Applications Specia,90687
2017,General Government,Finance,Information Technology Division,M141-701,Administrative Asst/IT,2084
2017,General Government,Finance,Treasury,M132-701,Director of Payroll,93459
2017,General Government,Finance,Information Technology Division,M131-007,Technical Support Lvl I,78150
2017,General Government,Finance,Information Technology Division,M131-006,Technical Support Lvl I,70250
2017,General Government,Finance,Information Technology Division,M131-005,Technical Support Lvl I,78150
2017,General Government,Finance,Information Technology Division,M131-004,Technical Support Lvl I,73479
2017,General Government,Finance,Information Technology Division,M130-701,System Administrator L1,104060
2017,General Government,Finance,Information Technology Division,M119-703,Sr Programmer/Sys Analyst,90687
2017,General Government,Finance,Assessing,M106-701,Title Examiner,42231
2017,General Government,Finance,Assessing,M105-001,Sr. Asst Assessor/Field Operat,87745
2017,General Government,Finance,Information Technology Division,M098-701,Open Data Program Manager,85586
2017,General Government,Finance,Information Technology Division,M097-701,Systems Administration Manager,112418
2017,General Government,Finance,Personnel,M095-703,Claims Mngr/Workers Comp,63668
2017,General Government,Finance,Personnel,M093-701,Asst Director/HR Administratio,109061
2017,General Government,Finance,Personnel,M084-001,Asst Director/HR Development,106858
2017,General Government,Finance,Revenue,M074-701,Assistant Finance Director,146833
2017,General Government,Finance,Treasury,M073-701,Project/Cash Manager,78378
2017,General Government,Finance,Revenue,M057-701,Manager of Collections,93459
2017,General Government,Finance,Personnel,M040-701,Mngr/Training & Staff Developm,93459
2017,General Government,Finance,Information Technology Division,M037-701,Chief Information Officer,155481
2017,General Government,Finance,Personnel,M026-001,Manager/Benefits & Compensatio,87344
2017,General Government,Finance,Assessing,M024-002,Sr Assistant Assessor,74962
2017,General Government,Finance,Purchasing,M021-001,Asst Purchasing Agent,93691
2017,General Government,Finance,Assessing,M019-001,Customer Svs Rep/Deed Spec.,61110
2017,General Government,Finance,Auditing,M017-001,Analyst/Auditing,80390
2017,General Government,Finance,Revenue,M015-701,Admin Asst/Cash Managemnt,55593
2017,General Government,Finance,Personnel,M007-001,Account Coordinator,68891
2017,General Government,Finance,Auditing,M002-702,General Ledger Accountant,93459
2017,General Government,Finance,Purchasing,C193-005,Buyer/Purchasing,57252
2017,General Government,Finance,Purchasing,c193-004,Buyer/Purchasing,57252
2017,General Government,Finance,Purchasing,C193-003,Buyer/Purchasing,57252
2017,General Government,Finance,Auditing,C176-018,Account Clerk,45842
2017,General Government,Finance,Revenue,C173-701,Cashier Coordinator,61022
2017,General Government,Finance,Revenue,C171-707,Sr Account Clerk,55272
2017,General Government,Finance,Auditing,C171-702,Sr. Account Clerk/Audit,57252
2017,General Government,Finance,Auditing,C170-701,Sr. Account Clerk/Audit,57252
2017,General Government,Finance,Purchasing,C121-001,Admin Asst/Purchasing,57058
2017,General Government,Finance,Revenue,C094-004,Admin Asst/Fisc/Gen/Bld/R,55873
2017,General Government,Finance,Assessing,C094-003,Admin Asst/Fisc/Gen/Bld/R,55873
2017,General Government,Finance,Treasury,A337-701,Cash Manager,68891
2017,Public Safety,Fire,Headquarters & Fire Stations,O501-001,Fire Chief,209897
2017,Public Safety,Fire,Headquarters & Fire Stations,M520-002,Admin Officer/Fire,177927
2017,Public Safety,Fire,Headquarters & Fire Stations,M520-001,Admin Officer/Fire,177927
2017,Public Safety,Fire,Headquarters & Fire Stations,M324-701,Radio/IT Manager Fire,104059
2017,Public Safety,Fire,Headquarters & Fire Stations,M297-701,Fiscal Manager/Fire,87344
2017,Public Safety,Fire,Headquarters & Fire Stations,M271-002,Payroll Analyst,51214
2017,Public Safety,Fire,Headquarters & Fire Stations,M175-008,Budget Analyst,56868
2017,Public Safety,Fire,Headquarters & Fire Stations,M156-704,System Administrator,98506
2017,Public Safety,Fire,Headquarters & Fire Stations,M016-702,Admin Asst/Fire Dept,61110
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-247,Fire Fighter,63784
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-246,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-245,Fire Fighter,65332
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-244,Fire Fighter,65204
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-243,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-242,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-241,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-240,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-239,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-238,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-237,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-236,Fire Fighter,65889
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-235,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-234,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-233,Fire Fighter,65159
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-231,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-230,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-229,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-227,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-226,Fire Fighter,65332
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-223,Fire Fighter,58999
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-222,Fire Fighter,65250
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-221,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-218,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-216,Fire Fighter,65889
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-215,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-214,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-213,Fire Fighter,65159
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-212,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-211,Fire Fighter,58999
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-210,Fire Fighter,58670
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-209,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-208,Fire Fighter,65250
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-207,Fire Fighter,58552
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-206,Fire Fighter,65204
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-205,Fire Fighter,65250
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-204,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-202,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-201,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-200,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-198,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-197,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-196,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-193,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-190,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-189,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-188,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-187,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-186,Fire Fighter,65889
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-184,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-183,Fire Fighter,63784
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-182,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-181,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-180,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-178,Fire Fighter,65159
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-176,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-175,Fire Fighter,65204
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-174,Fire Fighter,65250
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-173,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-172,Fire Fighter,65925
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-171,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-170,Fire Fighter,65250
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-167,Fire Fighter,65332
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-166,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-165,Fire Fighter,65889
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-164,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-163,Fire Fighter,65204
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-162,Fire Fighter,65889
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-161,Fire Fighter,65250
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-160,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-159,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-158,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-157,Fire Fighter,65498
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-156,Fire Fighter,65478
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-155,Fire Fighter,65250
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-153,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-151,Fire Fighter,65318
